Designator,Mid X,Mid Y,Rotation,Layer
C1,101.66,-93.56,270.0,bottom
C10,110.01,-111.41,180.0,top
C11,120.56,-113.16,180.0,top
C12,125.11,-113.16,180.0,top
C13,131.51,-113.21,180.0,top
C14,120.91,-87.66,0.0,top
C15,136.66,-106.86,270.0,top
C16,136.66,-101.91,270.0,top
C17,137.81,-95.41,0.0,top
C18,132.41,-87.51,0.0,top
C19,125.21,-87.66,0.0,top
C2,137.81,-91.41,0.0,top
C20,114.0375,-87.66,180.0,top
C21,105.76,-72.36,270.0,bottom
C22,102.31,-56.51,0.0,top
C23,95.01,-68.41,180.0,bottom
C24,87.51,-67.71,0.0,bottom
C25,97.66,-72.16,270.0,top
C26,95.56,-79.86,270.0,top
C27,102.26,-76.16,0.0,top
C28,137.81,-89.41,0.0,top
C3,137.81,-93.41,0.0,top
C30,128.21,-65.81,180.0,bottom
C31,123.76,-79.46,90.0,bottom
C32,127.36,-57.96,270.0,bottom
C34,124.01,-68.01,180.0,bottom
C35,98.61,-128.91,0.0,bottom
C36,98.61,-135.61,0.0,bottom
C37,157.26,-106.41,0.0,bottom
C38,157.26,-113.41,0.0,bottom
C39,157.26,-120.41,0.0,bottom
C4,139.3575,-98.66,90.0,top
C40,157.26,-99.41,0.0,bottom
C41,157.26,-88.41,0.0,bottom
C42,157.26,-81.41,0.0,bottom
C43,157.26,-74.41,0.0,bottom
C44,157.26,-67.41,0.0,bottom
C45,119.86,-79.41,0.0,bottom
C46,119.76,-72.81,0.0,bottom
C47,117.31,-129.31,0.0,bottom
C48,117.31,-135.61,0.0,bottom
C49,147.36,-131.01,0.0,bottom
C5,110.01,-109.11,180.0,top
C50,147.11,-56.16,0.0,bottom
C51,136.26,-122.16,0.0,bottom
C52,136.11,-128.91,0.0,bottom
C53,136.01,-135.66,0.0,bottom
C54,111.56,-55.56,90.0,bottom
C55,111.56,-62.16,90.0,bottom
C56,109.56,-55.56,90.0,bottom
C57,109.56,-62.16,90.0,bottom
C58,117.26,-122.16,0.0,bottom
C59,136.31,-83.81,0.0,bottom
C6,117.51,-87.66,0.0,top
C60,136.51,-72.71,0.0,bottom
C61,121.71,-101.36,90.0,bottom
C62,125.26,-101.31,90.0,bottom
C63,122.56,-89.41,90.0,bottom
C64,124.81,-89.41,90.0,bottom
C65,96.56,-117.26,270.0,bottom
C66,101.76,-117.26,270.0,bottom
C67,85.71,-73.81,0.0,bottom
C68,83.56,-122.26,270.0,bottom
C69,136.31,-62.91,0.0,bottom
C7,110.91,-88.36,90.0,top
C70,136.41,-56.21,0.0,bottom
C8,110.81,-96.96,90.0,top
C9,110.76,-102.36,90.0,top
CR1,100.51,-82.1104,180.0,top
