Designator,Mid X,Mid Y,Rotation,Layer
C1,118.25,-95.8,270.0,bottom
C10,126.6,-113.65,180.0,top
C11,137.15,-115.4,180.0,top
C12,141.7,-115.4,180.0,top
C13,148.1,-115.45,180.0,top
C14,137.5,-89.9,0.0,top
C15,153.25,-109.1,270.0,top
C16,153.25,-104.15,270.0,top
C17,154.4,-97.65,0.0,top
C18,149.0,-89.75,0.0,top
C19,141.8,-89.9,0.0,top
C2,154.4,-93.65,0.0,top
C20,130.6275,-89.9,180.0,top
C21,122.35,-74.6,270.0,bottom
C22,118.9,-58.75,0.0,top
C23,111.6,-70.65,180.0,bottom
C24,104.1,-69.95,0.0,bottom
C25,114.25,-74.4,270.0,top
C26,112.15,-82.1,270.0,top
C27,118.85,-78.4,0.0,top
C28,154.4,-91.65,0.0,top
C3,154.4,-95.65,0.0,top
C30,144.8,-68.05,180.0,bottom
C31,140.35,-81.7,90.0,bottom
C32,143.95,-60.2,270.0,bottom
C34,140.6,-70.25,180.0,bottom
C35,115.2,-131.15,0.0,bottom
C36,115.2,-137.85,0.0,bottom
C37,173.85,-108.65,0.0,bottom
C38,173.85,-115.65,0.0,bottom
C39,173.85,-122.65,0.0,bottom
C4,155.9475,-100.9,90.0,top
C40,173.85,-101.65,0.0,bottom
C41,173.85,-90.65,0.0,bottom
C42,173.85,-83.65,0.0,bottom
C43,173.85,-76.65,0.0,bottom
C44,173.85,-69.65,0.0,bottom
C45,136.45,-81.65,0.0,bottom
C46,136.35,-75.05,0.0,bottom
C47,133.9,-131.55,0.0,bottom
C48,133.9,-137.85,0.0,bottom
C49,163.95,-133.25,0.0,bottom
C5,126.6,-111.35,180.0,top
C50,163.7,-58.4,0.0,bottom
C51,152.85,-124.4,0.0,bottom
C52,152.7,-131.15,0.0,bottom
C53,152.6,-137.9,0.0,bottom
C54,128.15,-57.8,90.0,bottom
C55,128.15,-64.4,90.0,bottom
C56,126.15,-57.8,90.0,bottom
C57,126.15,-64.4,90.0,bottom
C58,133.85,-124.4,0.0,bottom
C59,152.9,-86.05,0.0,bottom
C6,134.1,-89.9,0.0,top
C60,153.1,-74.95,0.0,bottom
C61,138.3,-103.6,90.0,bottom
C62,141.85,-103.55,90.0,bottom
C63,139.15,-91.65,90.0,bottom
C64,141.4,-91.65,90.0,bottom
C65,113.15,-119.5,270.0,bottom
C66,118.35,-119.5,270.0,bottom
C67,102.3,-76.05,0.0,bottom
C68,100.15,-124.5,270.0,bottom
C69,152.9,-65.15,0.0,bottom
C7,127.5,-90.6,90.0,top
C70,153.0,-58.45,0.0,bottom
C8,127.4,-99.2,90.0,top
C9,127.35,-104.6,90.0,top
CR1,117.1,-84.3504,180.0,top
CR2,143.5245,-74.55,180.0,bottom
CR3,137.000001,-59.95,0.0,bottom
CR4,143.6755,-86.55,0.0,bottom
CR5,136.9755,-66.75,0.0,bottom
D1,111.7316,-100.3,0.0,bottom
D10,117.6816,-133.25,180.0,bottom
D11,155.1684,-133.3,180.0,bottom
D12,115.3375,-78.4,0.0,top
D13,117.475,-82.95,180.0,bottom
D14,163.9184,-138.0,0.0,bottom
D15,104.2,-112.475,270.0,top
D16,104.75,-73.775,90.0,top
D17,113.025,-103.65,180.0,top
D18,117.525,-103.65,180.0,top
D19,122.15,-103.65,180.0,top
D2,114.9,-66.4,180.0,top
D20,114.9,-68.65,180.0,top
D21,155.525,-113.4,0.0,top
D22,119.275,-68.65,180.0,top
D23,119.275,-66.4,180.0,top
D24,99.2684,-127.6,180.0,bottom
D25,147.1125,-62.85,180.0,bottom
D26,147.1125,-65.05,180.0,bottom
D27,141.85,-60.6,180.0,top
D28,141.85,-67.05,180.0,top
D3,119.15,-70.45,0.0,bottom
D4,119.05,-62.25,0.0,bottom
D5,108.2184,-68.0,0.0,bottom
D6,115.05,-79.25,180.0,bottom
D7,121.05,-118.2684,90.0,bottom
D8,173.7316,-67.5,0.0,bottom
D9,174.0316,-99.25,0.0,bottom
F1,106.25,-66.9,0.0,top
